Type,NThread,theta,particleNumber,construct_time(s),force_time(s),total_time(s)
Uni,1,1,1000,0.001955000916,0.03610781953,0.03806281835
Uni,2,1,1000,0.0006974830176,0.020202104,0.02089958638
Uni,3,1,1000,0.0008161839796,0.01493405364,0.01575023867
Uni,4,1,1000,0.001069047023,0.0150280688,0.01609711535
Uni,5,1,1000,0.0009663549718,0.01199002378,0.01295637898
Uni,6,1,1000,0.0009471690282,0.005278748926,0.006225917954
Uni,7,1,1000,0.0008843319956,0.008183535188,0.009067866951
Uni,8,1,1000,0.000724292011,0.007301528007,0.008025820367
Uni,8,0.2,1000,0.0006971620023,0.0652114898,0.06590865552
Uni,8,0.4,1000,0.0007415249711,0.03017930873,0.03092083149
Uni,8,0.6,1000,0.0006975429715,0.0158426892,0.01654023305
Uni,8,0.8,1000,0.0007466750103,0.01013282593,0.01087950077
Uni,8,1,1000,0.0008101830026,0.00724400999,0.008054193109
Uni,8,1.2,1000,0.001176347025,0.005699315108,0.006875662133
Uni,1,1,10000,0.009572198614,0.2359624654,0.2455346584
Uni,2,1,10000,0.009416217916,0.1168754548,0.1262916774
Uni,3,1,10000,0.01027514227,0.1064498946,0.116725035
Uni,4,1,10000,0.01034427062,0.09876956791,0.1091138422
Uni,5,1,10000,0.01255414914,0.07645727694,0.08901142329
Uni,6,1,10000,0.01063095592,0.08690531552,0.09753626585
Uni,7,1,10000,0.01094626542,0.08352249861,0.09446875751
Uni,8,1,10000,0.01225765515,0.09560352564,0.1078611836
Uni,8,0.2,10000,0.01248340681,0.6611369252,0.6736202836
Uni,8,0.4,10000,0.01333311386,0.2131706625,0.2265037745
Uni,8,0.6,10000,0.01201608405,0.1194197461,0.1314358264
Uni,8,0.8,10000,0.01225168537,0.06940983981,0.08166152239
Uni,8,1,10000,0.0122127207,0.04916923121,0.06138195097
Uni,8,1.2,10000,0.01243239176,0.07856419683,0.09099659324
Uni,1,1,100000,0.1568988115,3.471404552,3.628303289
Uni,2,1,100000,0.1808246523,1.83442688,2.015251398
Uni,3,1,100000,0.1751768887,1.197747111,1.372924089
Uni,4,1,100000,0.1796701849,1.021863103,1.201533318
Uni,5,1,100000,0.185477972,0.989349544,1.174827576
Uni,6,1,100000,0.1858041584,0.848873198,1.034677386
Uni,7,1,100000,0.1883180141,0.8125910759,1.00090909
Uni,8,1,100000,0.2129752636,0.808249712,1.021224976
Uni,8,0.2,100000,0.2210055739,11.5188446,11.739851
Uni,8,0.4,100000,0.2150990516,3.569414854,3.784513712
Uni,8,0.6,100000,0.2065535933,1.913146019,2.119699478
Uni,8,0.8,100000,0.1990832984,1.051910639,1.250993967
Uni,8,1,100000,0.2007685453,0.836384058,1.037152648
Uni,8,1.2,100000,0.2031397223,0.6276064515,0.8307461739
Uni,1,1,1000000,2.05170083,51.01882553,53.07052994
Uni,2,1,1000000,2.324016094,26.883461,29.20747757
Uni,3,1,1000000,2.459109545,17.21546364,19.67457199
Uni,4,1,1000000,2.497543335,13.19866371,15.696208
Uni,5,1,1000000,2.564788818,13.92309952,16.48788834
Uni,6,1,1000000,2.577780247,12.42388725,15.00166798
Uni,7,1,1000000,2.775628328,11.6797924,14.45541954
Uni,8,1,1000000,2.723432541,10.685956,13.40938854
Uni,8,0.2,1000000,2.770011663,192.6043854,195.3744049
Uni,8,0.4,1000000,2.780852556,56.72927475,59.51012802
Uni,8,0.6,1000000,2.819335938,27.32207489,30.14141083
Uni,8,0.8,1000000,2.928832531,17.2155571,20.14439011
Uni,8,1,1000000,2.903971672,10.92435741,13.82832813
Uni,8,1.2,1000000,2.913910389,8.17032814,11.08423901
