Type,NThread,theta,particleNumber,construct_time(s),force_time(s),total_time(s)
Uni,1,1,1000,0.00192054396,0.0220343601,0.02395490371
Uni,2,1,1000,0.0006883440074,0.02297020331,0.02365854755
Uni,3,1,1000,0.0007126959972,0.01410526223,0.01481795777
Uni,4,1,1000,0.0007535400218,0.01004427299,0.0107978126
Uni,5,1,1000,0.0006852169754,0.007956687361,0.00864190422
Uni,6,1,1000,0.0006803229917,0.008722783066,0.009403105825
Uni,7,1,1000,0.000680911995,0.008459659293,0.009140570648
Uni,8,1,1000,0.000866012997,0.007629806176,0.008495818824
Uni,8,0.2,1000,0.0006847779732,0.05478920043,0.05547397584
Uni,8,0.4,1000,0.0006790449843,0.01479243673,0.01547148172
Uni,8,0.6,1000,0.0007184799761,0.007700584829,0.008419064805
Uni,8,0.8,1000,0.0006694149924,0.004620559979,0.005289975088
Uni,8,1,1000,0.000668956025,0.004108985886,0.004777941853
Uni,8,1.2,1000,0.000806030992,0.002688209061,0.003494240111
Uni,1,1,10000,0.01144350413,0.2308686376,0.2423121482
Uni,2,1,10000,0.01064148918,0.1356415004,0.1462829858
Uni,3,1,10000,0.01147895493,0.1109517142,0.1224306673
Uni,4,1,10000,0.01178147737,0.07416594028,0.08594742417
Uni,5,1,10000,0.01172796823,0.09600231797,0.1077302843
Uni,6,1,10000,0.01550694741,0.09486849606,0.1103754416
Uni,7,1,10000,0.01097086817,0.08315487206,0.09412573278
Uni,8,1,10000,0.01136597246,0.06572987139,0.0770958364
Uni,8,0.2,10000,0.0148348622,0.6812551022,0.696089983
Uni,8,0.4,10000,0.01388542075,0.2243507206,0.2382361442
Uni,8,0.6,10000,0.01293962635,0.1277215481,0.1406611651
Uni,8,0.8,10000,0.01212594286,0.07442430407,0.08655025065
Uni,8,1,10000,0.01442092564,0.049461063,0.06388199329
Uni,8,1.2,10000,0.0124712633,0.08211305737,0.09458432347
Uni,1,1,100000,0.1545091271,3.54092288,3.695432186
Uni,2,1,100000,0.1708385944,1.888780236,2.059618711
Uni,3,1,100000,0.1752288491,1.215529323,1.390758157
Uni,4,1,100000,0.1796412021,0.9398672581,1.119508505
Uni,5,1,100000,0.1891394556,0.9925647378,1.181704164
Uni,6,1,100000,0.1972173899,0.8533598185,1.050577164
Uni,7,1,100000,0.1888053864,0.7746400833,0.9634454846
Uni,8,1,100000,0.1948965639,0.7422846556,0.9371812344
Uni,8,0.2,100000,0.1985258907,11.6633873,11.86191368
Uni,8,0.4,100000,0.1995856464,3.632479191,3.832065105
Uni,8,0.6,100000,0.2070356309,1.919209123,2.126244783
Uni,8,0.8,100000,0.2023314238,1.167084217,1.369415522
Uni,8,1,100000,0.2009754926,0.8138888478,1.014864326
Uni,8,1.2,100000,0.2019244283,0.635727942,0.8376523256
Uni,1,1,1000000,2.077352762,49.06390762,51.14126205
Uni,2,1,1000000,2.261727095,25.57078171,27.83250809
Uni,3,1,1000000,2.393017769,17.08343697,19.47645569
Uni,4,1,1000000,2.459703922,13.11777115,15.57747364
Uni,5,1,1000000,2.57300806,14.11751938,16.69052696
Uni,6,1,1000000,2.59659791,11.86159229,14.45818996
Uni,7,1,1000000,2.736290216,11.23114872,13.96743965
Uni,8,1,1000000,2.71216011,10.7615118,13.47367191
