Time,Particle,Mass,PositionX,PositionY,VectorX,VectorY,AccelerationX,AccelerationY
0,1,3.63914e+12,-134.534,-823.636,712.621,-157.636,0,0
0,2,1.51106e+12,295.223,-327.794,235.427,31.2328,0,0
0,3,2.13227e+12,531.28,295.932,-166.412,248.284,0,0
0,4,3.91606e+12,-301.541,-930.788,1000.4,-241.045,0,0
0,5,8.84522e+12,-41.7211,-792.386,541.827,4.79662,0,0
0,6,9.30479e+12,267.448,128.055,-116.775,60.973,0,0
0,7,2.31084e+12,503.025,-87.4728,6.57615,271.806,0,0
0,8,8.40748e+12,-284.292,332.156,-231.725,-165.783,0,0
0,9,5.58255e+12,47.9609,-382.884,52.312,28.1358,0,0
0,10,7.49905e+12,522.865,117.381,-83.9134,292.875,0,0
0,11,5.16105e+12,-243.959,436.732,-232.1,-87.871,0,0
0,12,6.80769e+12,-126.616,793.1,-730.745,-91.1431,0,0
0,13,9.83548e+12,-274.947,725.497,-615.028,-251.303,0,0
0,14,7.28865e+12,448.329,220.34,-61.6159,161.565,0,0
0,15,5.85964e+12,-218.657,-425.063,171.062,-77.9378,0,0
0,16,3.74686e+12,-428.011,316.396,-257.585,-248.136,0,0
0,17,7.36374e+12,392.034,295.06,-171.944,249.416,0,0
0,18,9.55485e+12,52.7657,-44.8274,86.2671,7.98565,0,0
0,19,3.05929e+12,201.225,127.883,-59.8103,-19.6698,0,0
0,20,3.00365e+12,89.3702,-448.599,137.933,21.6221,0,0
0,21,1.48845e+12,215.705,430.455,-132.076,101.723,0,0
0,22,3.78038e+12,-506.406,-193.569,15.9274,-218.835,0,0
0,23,4.4041e+12,-255.903,-378.656,247.423,-108.079,0,0
0,24,8.84242e+12,-163.791,-86.6254,111.8,-62.5931,0,0
0,25,4.41044e+12,195.125,651.293,-427.055,54.6512,0,0
0,26,3.51912e+12,415.643,-438.756,304.176,284.537,0,0
0,27,1.98104e+12,70.3496,-45.3379,-55.5026,-8.09981,0,0
0,28,4.26236e+12,-149.031,-0.987582,8.29138,-88.9936,0,0
0,29,6.46929e+12,478.143,-386.327,195.037,263.956,0,0
0,30,1.07123e+12,701.233,522.03,-437.373,703.436,0,0
0,31,3.35061e+12,909.48,-27.5994,34.621,837.926,0,0
0,32,1.74676e+12,433.67,510.96,-302.894,328.206,0,0
0,33,5.12783e+12,-48.7847,239.578,-56.4395,-62.1974,0,0
0,34,8.00666e+12,363.863,-516.129,314.325,206.483,0,0
0,35,5.77516e+12,-4.7267,-63.0281,71.4833,-63.1228,0,0
0,36,1.59994e+12,497.979,41.7276,1.35638,171.929,0,0
0,37,1.59246e+12,-363.365,-537.033,326.87,-170.176,0,0
0,38,8.31437e+12,-302.745,853.486,-677.515,-288.673,0,0
0,39,6.32586e+12,302.842,-110.532,122.431,33.5167,0,0
0,40,1.02154e+12,224.722,-686.676,479.404,106.594,0,0
0,41,4.26927e+12,-170.891,-368.804,119.402,-131.958,0,0
0,42,7.99255e+12,-44.5087,-18.4649,-85.2012,-60.5077,0,0
0,43,2.436e+12,-61.5326,-63.3617,24.2778,5.09387,0,0
