Time,Particle,Mass,PositionX,PositionY,VectorX,VectorY,AccelerationX,AccelerationY
0,1,2.30935e+12,-319.599,270.486,-196.845,-114.901,0,0
0,2,4.44726e+12,408.071,731.154,-603.074,338.698,0,0
0,3,3.20765e+12,-527.555,-776.61,815.603,-553.542,0,0
0,4,5.73377e+12,974.359,797.842,-957.667,1142.09,0,0
0,5,1.46086e+12,818.097,-935.293,1216.54,1077.38,0,0
0,6,1.28061e+12,-893.871,494.499,-598.339,-849.533,0,0
0,7,7.728e+12,240.465,92.7254,50.5084,-36.2463,0,0
0,8,8.00206e+12,958.72,516.919,-513.397,1134.23,0,0
0,9,6.20557e+12,-241.155,-473.513,201.175,-187.39,0,0
0,10,6.67929e+12,-500.084,31.1295,38.6113,-213.065,0,0
0,11,3.91883e+12,966.743,-607.436,745.618,1014.67,0,0
0,12,3.38952e+12,145.761,-535.182,206.663,152.819,0,0
0,13,3.72242e+12,-174.055,-512.897,355.367,-156.877,0,0
0,14,8.58734e+12,-182.584,983.239,-983.638,-115.075,0,0
0,15,8.51485e+12,660.308,955.361,-1158.2,671.949,0,0
0,16,9.52869e+12,-844.308,297.487,-192.794,-749.46,0,0
0,17,6.1629e+12,-862.073,-774.086,818.96,-1042.19,0,0
0,18,9.94303e+12,-359.763,-496.054,362.089,-147.779,0,0
0,19,3.347e+12,-588.477,229.821,-118.084,-308.324,0,0
0,20,5.20351e+12,-535.566,-583.567,459.515,-515.749,0,0
0,21,8.65709e+12,233.251,-440.935,285.052,87.8393,0,0
0,22,7.17826e+12,569.058,-174.255,200.637,314.472,0,0
0,23,6.26377e+12,-189.445,-901.827,909.189,-179.573,0,0
0,24,2.05244e+12,252.118,82.3411,-108.851,70.8297,0,0
0,25,5.68951e+12,-197.59,450.021,-136.1,-98.8901,0,0
0,26,2.67222e+12,45.7597,148.157,-11.4664,1.54206,0,0
0,27,2.82781e+12,613.789,-845.088,887.723,549.25,0,0
0,28,3.39862e+12,-626.536,-106.739,142.993,-472.21,0,0
0,29,5.59222e+12,386.112,779.959,-622.508,323.357,0,0
0,30,7.17019e+12,301.639,-836.219,763.41,286.418,0,0
0,31,8.55164e+12,955.845,596.106,-624.191,1005.4,0,0
0,32,6.24819e+12,-801.57,316.117,-287.735,-769.287,0,0
0,33,5.87125e+12,-764.483,-382.476,270.12,-645.635,0,0
0,34,6.86059e+12,-921.694,931.149,-1133.28,-1293.88,0,0
0,35,2.62482e+12,-240.603,101.798,14.283,-149.675,0,0
0,36,4.7499e+12,-397.15,-113.324,25.6139,-134.146,0,0
0,37,7.69019e+12,-807.281,-543.825,615.615,-751.371,0,0
0,38,7.24283e+12,120.033,295.351,-180.338,110.072,0,0
0,39,4.08543e+12,0.659628,-243.006,44.9963,45.8527,0,0
0,40,5.23796e+12,559.092,-686.441,626.779,427.054,0,0
0,41,9.51952e+12,-327.305,-389.978,295.794,-238.9,0,0
0,42,6.09468e+12,840.585,137.969,-107.298,770.649,0,0
0,43,9.80558e+12,-828.518,189.832,-239.781,-703.714,0,0
0,44,1.77745e+12,-366.851,531.86,-442.861,-261.263,0,0
0,45,2.64843e+12,226.951,601.879,-335.199,225.99,0,0
0,46,5.32018e+12,-954.299,600.861,-675.968,-1043.34,0,0
0,47,8.06988e+12,433.282,326.298,-201.534,298.829,0,0
0,48,2.80885e+12,267.911,743.332,-546.354,249.889,0,0
0,49,6.82221e+12,230.456,823.713,-621.035,270.886,0,0
0,50,7.23457e+12,822.764,327.438,-355.179,666.34,0,0
0,51,4.57477e+12,592.189,119.761,-169.254,424.804,0,0
0,52,9.7633e+12,-933.19,-932.932,1301.07,-1269.68,0,0
0,53,5.38348e+12,577.462,216.353,-58.6878,377.298,0,0
0,54,4.57067e+12,203.343,561.077,-313.701,207.762,0,0
0,55,2.27161e+12,210.902,-257.416,36.9719,152.852,0,0
0,56,8.46142e+12,734.622,-850.367,880.732,790.008,0,0
0,57,7.18613e+12,666.337,-500.036,426.438,458.013,0,0
0,58,7.63198e+12,336.812,-725.298,550.964,234.332,0,0
0,59,4.37781e+12,-776.326,-682.13,747.276,-885.6,0,0
0,60,2.87523e+12,126.107,220.43,-24.8283,11.8091,0,0
