Type,NThread,theta,particleNumber,construct_time(s),force_time(s),total_time(s)
NonUni,1,1,1000,0.002130971989,0.04159585014,0.04372682422
NonUni,2,1,1000,0.0007137510111,0.02875020541,0.02946395613
NonUni,3,1,1000,0.0007432569982,0.01759386808,0.01833712682
NonUni,4,1,1000,0.0007168970187,0.01719165966,0.01790855825
NonUni,5,1,1000,0.0007856679731,0.010898415,0.01168408338
NonUni,6,1,1000,0.0007357830182,0.01335422695,0.01409000997
NonUni,7,1,1000,0.0007174470229,0.01322542131,0.01394286845
NonUni,8,1,1000,0.0009944259655,0.01144515723,0.01243958343
NonUni,8,0.2,1000,0.0007192610065,0.05892064795,0.05963990837
NonUni,8,0.4,1000,0.0007249719929,0.01650638692,0.01723135822
NonUni,8,0.6,1000,0.0008200429729,0.008448855951,0.009268899448
NonUni,8,0.8,1000,0.0008995750104,0.01114133839,0.01204091311
NonUni,8,1,1000,0.0008001750102,0.005239448044,0.006039623171
NonUni,8,1.2,1000,0.0007854470168,0.003861971898,0.004647418857
NonUni,1,1,10000,0.009797326289,0.3014165759,0.3112139106
NonUni,2,1,10000,0.01011674479,0.1855383217,0.1956550777
NonUni,3,1,10000,0.0139809614,0.1156582385,0.1296391934
NonUni,4,1,10000,0.01368214097,0.1180167794,0.1316989213
NonUni,5,1,10000,0.01510226913,0.09929320216,0.114395462
NonUni,6,1,10000,0.01222955156,0.09004494548,0.1022744924
NonUni,7,1,10000,0.01223837864,0.07077214867,0.08301052451
NonUni,8,1,10000,0.01316718012,0.0723535493,0.08552073687
NonUni,8,0.2,10000,0.01394297834,0.8044760227,0.8184189796
NonUni,8,0.4,10000,0.01567896828,0.2877435982,0.3034225702
NonUni,8,0.6,10000,0.01577092148,0.149992317,0.165763244
NonUni,8,0.8,10000,0.01289395895,0.09768338501,0.1105773449
NonUni,8,1,10000,0.01788087375,0.0644030571,0.08228392899
NonUni,8,1.2,10000,0.01260514837,0.05625198781,0.06885713339
NonUni,1,1,100000,0.1618863046,4.250741482,4.412628174
NonUni,2,1,100000,0.1716860533,2.181531668,2.35321784
NonUni,3,1,100000,0.1806295663,1.469267964,1.649897575
NonUni,4,1,100000,0.1839097887,1.12150836,1.305418134
NonUni,5,1,100000,0.210026294,1.20970571,1.419731975
NonUni,6,1,100000,0.213036716,1.061136007,1.274172783
NonUni,7,1,100000,0.2091220021,0.9367124438,1.145834446
NonUni,8,1,100000,0.2238186896,0.9959647655,1.219783425
NonUni,8,0.2,100000,0.2031295002,14.22970772,14.43283749
NonUni,8,0.4,100000,0.2057619542,4.534566879,4.740328789
NonUni,8,0.6,100000,0.2265433967,2.236109018,2.462652445
NonUni,8,0.8,100000,0.206241712,1.420100451,1.626342297
NonUni,8,1,100000,0.2073160112,1.009882331,1.217198372
NonUni,8,1.2,100000,0.2106559724,0.778424561,0.9890805483
NonUni,1,1,1000000,2.163637161,58.34873581,60.51237106
NonUni,2,1,1000000,2.418433905,29.00161171,31.42004585
NonUni,3,1,1000000,2.455834627,19.63174057,22.08757591
NonUni,4,1,1000000,2.530892611,14.83727646,17.36816978
NonUni,5,1,1000000,2.600929976,15.81186008,18.41279221
NonUni,6,1,1000000,2.651000738,13.54008961,16.19109154
NonUni,7,1,1000000,2.781662226,13.0600872,15.84174919
NonUni,8,1,1000000,2.965224743,12.18790436,15.15312862
NonUni,8,0.2,1000000,2.743548155,217.5295715,220.2731171
NonUni,8,0.4,1000000,2.855314255,63.03916931,65.89448547
NonUni,8,0.6,1000000,2.853635073,30.57224083,33.42587662
NonUni,8,0.8,1000000,2.876219034,18.62115288,21.49736977
NonUni,8,1,1000000,2.889950991,12.49986458,15.38981438
NonUni,8,1.2,1000000,2.912319899,9.358790398,12.27111149
