Type,NThread,theta,particleNumber,construct_time(s),force_time(s),total_time(s)
Uni,8,1,1000,0.002073894953,0.00899414625,0.01106804144
Uni,8,1,10000,0.01063462067,0.09506334364,0.1056979671
Uni,8,1,100000,0.1604307592,0.7014026642,0.8618334532
Uni,8,1,1000000,2.043875217,9.436425209,11.4803009
Uni,8,1,10000000,27.78886223,124.606369,152.3952179
NonUni,8,1,1000,0.002008574083,0.0122522153,0.01426078938
NonUni,8,1,10000,0.009712199681,0.09662619978,0.1063383967
NonUni,8,1,100000,0.1572303325,0.8336999416,0.9909303188
NonUni,8,1,1000000,2.155086517,11.28068161,13.43576908
NonUni,8,1,10000000,28.62904739,142.7957458,171.4247894
