type,particleNumber,construct_time(s),force_time(s),total_time(s)
treeOMPNonUni,1e3,0.00079079,0.0135138,0.0143046
treeOMPNonUni,1e4,0.010602,0.0800243,0.0906263
treeOMPNonUni,1e5,0.157095,0.921289,1.07838
treeOMPNonUni,1e6,0.15547,0.868387,1.02386
treeOMPNonUni,1e7,27.6033744812,140.8138580322,168.4172363281
treeOMPUni,1e3,0.0019987,0.0106492,0.0126479
treeOMPUni,1e4,0.00936597,0.0712996,0.0806656
treeOMPUni,1e5,0.151965,0.699045,0.851011
treeOMPUni,1e6,2.04482,9.71459,11.7594
treeOMPUni,1e7,28.2338695526,124.1662368774,152.4001007080
