Type,NThread,theta,particleNumber,construct_time(s),force_time(s),total_time(s)
NonUni,1,1,1000,0.002241013106,0.03871570528,0.04095672071
NonUni,2,1,1000,0.0007219450199,0.02336695231,0.02408889867
NonUni,3,1,1000,0.0007728679921,0.02049413323,0.02126700245
NonUni,4,1,1000,0.000746870006,0.01388565823,0.01463252772
NonUni,5,1,1000,0.0008318569744,0.01121146418,0.01204332057
NonUni,6,1,1000,0.0007113050087,0.01325203571,0.01396334078
NonUni,7,1,1000,0.0007583610131,0.01170669962,0.01246506069
NonUni,8,1,1000,0.000861611974,0.01150075905,0.0123623712
NonUni,8,0.2,1000,0.0007944289828,0.06640025973,0.06719468534
NonUni,8,0.4,1000,0.0009961919859,0.03200097382,0.03299716488
NonUni,8,0.6,1000,0.0007141199894,0.0232044328,0.02391855232
NonUni,8,0.8,1000,0.0007178980159,0.01355387364,0.01427177154
NonUni,8,1,1000,0.001170453033,0.009723062627,0.01089351624
NonUni,8,1.2,1000,0.0009905210463,0.01003150269,0.01102202386
NonUni,1,1,10000,0.009789565578,0.3090873659,0.3188769221
NonUni,2,1,10000,0.009675324894,0.2060515136,0.2157268524
NonUni,3,1,10000,0.01063766424,0.1288819909,0.1395196468
NonUni,4,1,10000,0.01092128735,0.108261168,0.1191824526
NonUni,5,1,10000,0.01345419977,0.09497874975,0.1084329486
NonUni,6,1,10000,0.01103026792,0.08799952269,0.09902979434
NonUni,7,1,10000,0.01107680518,0.09689800441,0.1079748049
NonUni,8,1,10000,0.01217909064,0.06843772531,0.08061681688
NonUni,8,0.2,10000,0.01156564709,0.8049943447,0.8165599704
NonUni,8,0.4,10000,0.01335661672,0.2652943432,0.2786509693
NonUni,8,0.6,10000,0.01311874762,0.1482425034,0.1613612473
NonUni,8,0.8,10000,0.01313355379,0.09144337475,0.1045769304
NonUni,8,1,10000,0.01230059471,0.06703078002,0.07933137566
NonUni,8,1.2,10000,0.0128517542,0.08825816214,0.1011099145
NonUni,1,1,100000,0.1638807058,4.278956413,4.442836761
NonUni,2,1,100000,0.1685231477,2.18151021,2.350033522
NonUni,3,1,100000,0.1770032793,1.463756919,1.640760183
NonUni,4,1,100000,0.1821386218,1.110562682,1.292701364
NonUni,5,1,100000,0.1856332272,1.179915667,1.365548968
NonUni,6,1,100000,0.1876978278,1.009503126,1.197201014
NonUni,7,1,100000,0.1912120283,0.9189191461,1.110131145
NonUni,8,1,100000,0.2016330808,0.8837859631,1.085419178
NonUni,8,0.2,100000,0.2004168034,13.82821846,14.02863598
NonUni,8,0.4,100000,0.2018846124,4.322454453,4.524338722
NonUni,8,0.6,100000,0.2045612037,2.205471754,2.410032988
NonUni,8,0.8,100000,0.2058197409,1.460283518,1.666103244
NonUni,8,1,100000,0.2267113477,1.121161103,1.347872496
NonUni,8,1.2,100000,0.2138090432,0.8667165041,1.080525517
NonUni,1,1,1000000,2.173542976,57.29486847,59.46841049
NonUni,2,1,1000000,2.3274436,28.90660667,31.23405075
NonUni,3,1,1000000,2.42891264,19.5418663,21.97077942
NonUni,4,1,1000000,2.499675989,14.83611488,17.33579254
NonUni,5,1,1000000,2.572190285,16.04249001,18.61467934
NonUni,6,1,1000000,2.623475313,13.72007751,16.34355164
NonUni,7,1,1000000,2.688259125,12.68420887,15.37246799
NonUni,8,1,1000000,2.754001856,12.43346786,15.18746948
NonUni,8,0.2,1000000,2.804741383,216.8292694,219.6340027
NonUni,8,0.4,1000000,2.818767548,61.71341324,64.53217316
NonUni,8,0.6,1000000,2.841565371,30.15298843,32.99455261
NonUni,8,0.8,1000000,2.884311438,18.81159973,21.6959095
NonUni,8,1,1000000,2.944589615,12.43742847,15.38201809
NonUni,8,1.2,1000000,2.915201187,9.280676842,12.19587803
